in s,C1 in V
-2.6397200E-03,1.01758E-02
-2.6396100E-03,5.29297E-03
-2.6395000E-03,1.50586E-02
-2.6393900E-03,-1.91211E-02
-2.6392800E-03,4.10156E-04
-2.6391700E-03,1.50586E-02
-2.6390600E-03,-4.47266E-03
-2.6389500E-03,1.01758E-02
-2.6388400E-03,1.99414E-02
-2.6387300E-03,4.10156E-04
-2.6386200E-03,5.29297E-03
-2.6385100E-03,2.97070E-02
-2.6384000E-03,-4.47266E-03
-2.6382900E-03,4.10156E-04
-2.6381800E-03,3.45898E-02
-2.6380700E-03,-1.42383E-02
-2.6379600E-03,-4.47266E-03
-2.6378500E-03,2.48242E-02
-2.6377400E-03,1.50586E-02
-2.6376300E-03,1.01758E-02
-2.6375200E-03,-1.42383E-02
-2.6374100E-03,1.50586E-02
-2.6373000E-03,5.29297E-03
-2.6371900E-03,-1.42383E-02
-2.6370800E-03,-4.47266E-03
-2.6369700E-03,5.29297E-03
-2.6368600E-03,-4.47266E-03
-2.6367500E-03,4.10156E-04
-2.6366400E-03,-4.47266E-03
-2.6365300E-03,-4.47266E-03
-2.6364200E-03,4.10156E-04
-2.6363100E-03,1.50586E-02
-2.6362000E-03,-1.91211E-02
-2.6360900E-03,2.97070E-02
-2.6359800E-03,4.10156E-04
-2.6358700E-03,2.97070E-02
-2.6357600E-03,1.01758E-02
-2.6356500E-03,2.48242E-02
-2.6355400E-03,1.99414E-02
-2.6354300E-03,1.01758E-02
-2.6353200E-03,1.99414E-02
-2.6352100E-03,1.01758E-02
-2.6351000E-03,-1.42383E-02
-2.6349900E-03,1.01758E-02
-2.6348800E-03,1.99414E-02
-2.6347700E-03,-4.47266E-03
-2.6346600E-03,-1.42383E-02
-2.6345500E-03,1.50586E-02
-2.6344400E-03,1.99414E-02
-2.6343300E-03,1.50586E-02
-2.6342200E-03,5.29297E-03
-2.6341100E-03,1.01758E-02
-2.6340000E-03,-9.35547E-03
-2.6338900E-03,1.01758E-02
-2.6337800E-03,4.10156E-04
-2.6336700E-03,1.01758E-02
-2.6335600E-03,-1.42383E-02
-2.6334500E-03,2.48242E-02
-2.6333400E-03,1.99414E-02
-2.6332300E-03,1.50586E-02
-2.6331200E-03,4.10156E-04
-2.6330100E-03,-4.47266E-03
-2.6329000E-03,-4.47266E-03
-2.6327900E-03,-1.42383E-02
-2.6326800E-03,1.50586E-02
-2.6325700E-03,-1.91211E-02
-2.6324600E-03,-4.47266E-03
-2.6323500E-03,1.99414E-02
-2.6322400E-03,5.29297E-03
-2.6321300E-03,4.10156E-04
-2.6320200E-03,4.10156E-04
-2.6319100E-03,3.94727E-02
-2.6318000E-03,1.50586E-02
-2.6316900E-03,1.01758E-02
-2.6315800E-03,1.01758E-02
-2.6314700E-03,5.29297E-03
-2.6313600E-03,1.50586E-02
-2.6312500E-03,1.01758E-02
-2.6311400E-03,-4.47266E-03
-2.6310300E-03,1.50586E-02
-2.6309200E-03,1.01758E-02
-2.6308100E-03,1.50586E-02
-2.6307000E-03,1.99414E-02
-2.6305900E-03,1.99414E-02
-2.6304800E-03,-4.47266E-03
-2.6303700E-03,1.01758E-02
-2.6302600E-03,1.50586E-02
-2.6301500E-03,1.99414E-02
-2.6300400E-03,-9.35547E-03
-2.6299300E-03,1.50586E-02
-2.6298200E-03,-1.91211E-02
-2.6297100E-03,-1.42383E-02
-2.6296000E-03,-9.35547E-03
-2.6294900E-03,4.10156E-04
-2.6293800E-03,-1.42383E-02
-2.6292700E-03,1.50586E-02
-2.6291600E-03,1.99414E-02
-2.6290500E-03,-1.42383E-02
-2.6289400E-03,-9.35547E-03
-2.6288300E-03,1.50586E-02
-2.6287200E-03,1.99414E-02
-2.6286100E-03,1.50586E-02
-2.6285000E-03,1.99414E-02
-2.6283900E-03,1.50586E-02
-2.6282800E-03,-4.47266E-03
-2.6281700E-03,1.99414E-02
-2.6280600E-03,1.99414E-02
-2.6279500E-03,1.50586E-02
-2.6278400E-03,-1.91211E-02
-2.6277300E-03,-4.47266E-03
-2.6276200E-03,5.29297E-03
-2.6275100E-03,1.50586E-02
-2.6274000E-03,1.99414E-02
-2.6272900E-03,5.29297E-03
-2.6271800E-03,1.01758E-02
-2.6270700E-03,-1.91211E-02
-2.6269600E-03,1.99414E-02
-2.6268500E-03,1.50586E-02
-2.6267400E-03,1.99414E-02
-2.6266300E-03,-4.47266E-03
-2.6265200E-03,-4.47266E-03
-2.6264100E-03,1.01758E-02
-2.6263000E-03,1.50586E-02
-2.6261900E-03,4.10156E-04
-2.6260800E-03,-1.91211E-02
-2.6259700E-03,-1.42383E-02
-2.6258600E-03,4.10156E-04
-2.6257500E-03,-4.47266E-03
-2.6256400E-03,4.10156E-04
-2.6255300E-03,1.99414E-02
-2.6254200E-03,1.01758E-02
-2.6253100E-03,1.99414E-02
-2.6252000E-03,1.01758E-02
-2.6250900E-03,-9.35547E-03
-2.6249800E-03,4.10156E-04
-2.6248700E-03,-4.47266E-03
-2.6247600E-03,5.29297E-03
-2.6246500E-03,-2.40039E-02
-2.6245400E-03,-9.35547E-03
-2.6244300E-03,1.50586E-02
-2.6243200E-03,5.29297E-03
-2.6242100E-03,-4.47266E-03
-2.6241000E-03,4.10156E-04
-2.6239900E-03,1.50586E-02
-2.6238800E-03,-1.42383E-02
-2.6237700E-03,2.97070E-02
-2.6236600E-03,-4.47266E-03
-2.6235500E-03,1.50586E-02
-2.6234400E-03,4.10156E-04
-2.6233300E-03,-1.42383E-02
-2.6232200E-03,-1.91211E-02
-2.6231100E-03,-4.47266E-03
-2.6230000E-03,5.29297E-03
-2.6228900E-03,4.10156E-04
-2.6227800E-03,-4.47266E-03
-2.6226700E-03,1.50586E-02
-2.6225600E-03,-1.42383E-02
-2.6224500E-03,-4.47266E-03
-2.6223400E-03,5.29297E-03
-2.6222300E-03,1.01758E-02
-2.6221200E-03,4.10156E-04
-2.6220100E-03,1.01758E-02
-2.6219000E-03,4.10156E-04
-2.6217900E-03,1.01758E-02
-2.6216800E-03,1.50586E-02
-2.6215700E-03,1.50586E-02
-2.6214600E-03,5.29297E-03
-2.6213500E-03,5.29297E-03
-2.6212400E-03,1.50586E-02
-2.6211300E-03,1.01758E-02
-2.6210200E-03,-9.35547E-03
-2.6209100E-03,1.50586E-02
-2.6208000E-03,4.10156E-04
-2.6206900E-03,1.50586E-02
-2.6205800E-03,-9.35547E-03
-2.6204700E-03,4.10156E-04
-2.6203600E-03,-1.91211E-02
-2.6202500E-03,-1.91211E-02
-2.6201400E-03,-4.47266E-03
-2.6200300E-03,2.48242E-02
-2.6199200E-03,1.50586E-02
-2.6198100E-03,5.29297E-03
-2.6197000E-03,-4.47266E-03
-2.6195900E-03,-9.35547E-03
-2.6194800E-03,-9.35547E-03
-2.6193700E-03,1.01758E-02
-2.6192600E-03,1.50586E-02
-2.6191500E-03,-9.35547E-03
-2.6190400E-03,-4.47266E-03
-2.6189300E-03,1.50586E-02
-2.6188200E-03,1.01758E-02
-2.6187100E-03,1.50586E-02
-2.6186000E-03,4.43555E-02
-2.6184900E-03,-1.91211E-02
-2.6183800E-03,1.01758E-02
-2.6182700E-03,1.01758E-02
-2.6181600E-03,-1.42383E-02
-2.6180500E-03,1.50586E-02
-2.6179400E-03,1.50586E-02
-2.6178300E-03,1.50586E-02
-2.6177200E-03,1.99414E-02
-2.6176100E-03,1.50586E-02
-2.6175000E-03,1.50586E-02
-2.6173900E-03,1.01758E-02
-2.6172800E-03,1.01758E-02
-2.6171700E-03,1.01758E-02
-2.6170600E-03,1.50586E-02
-2.6169500E-03,1.01758E-02
-2.6168400E-03,1.99414E-02
-2.6167300E-03,1.01758E-02
-2.6166200E-03,1.99414E-02
-2.6165100E-03,4.10156E-04
-2.6164000E-03,4.10156E-04
-2.6162900E-03,5.29297E-03
-2.6161800E-03,1.50586E-02
-2.6160700E-03,4.10156E-04
-2.6159600E-03,-1.42383E-02
-2.6158500E-03,2.97070E-02
-2.6157400E-03,1.50586E-02
-2.6156300E-03,-4.47266E-03
-2.6155200E-03,1.50586E-02
-2.6154100E-03,-1.91211E-02
-2.6153000E-03,1.50586E-02
-2.6151900E-03,-4.47266E-03
-2.6150800E-03,1.99414E-02
-2.6149700E-03,1.99414E-02
-2.6148600E-03,-4.47266E-03
-2.6147500E-03,5.29297E-03
-2.6146400E-03,1.01758E-02
-2.6145300E-03,-9.35547E-03
-2.6144200E-03,1.01758E-02
-2.6143100E-03,5.29297E-03
-2.6142000E-03,-1.42383E-02
-2.6140900E-03,-9.35547E-03
-2.6139800E-03,-2.40039E-02
-2.6138700E-03,-4.47266E-03
-2.6137600E-03,4.10156E-04
-2.6136500E-03,4.10156E-04
-2.6135400E-03,1.50586E-02
-2.6134300E-03,1.99414E-02
-2.6133200E-03,1.50586E-02
-2.6132100E-03,4.10156E-04
-2.6131000E-03,1.99414E-02
-2.6129900E-03,5.29297E-03
-2.6128800E-03,1.50586E-02
-2.6127700E-03,-1.42383E-02
-2.6126600E-03,-9.35547E-03
-2.6125500E-03,4.10156E-04
-2.6124400E-03,-2.40039E-02
-2.6123300E-03,1.50586E-02
-2.6122200E-03,1.50586E-02
-2.6121100E-03,1.01758E-02
-2.6120000E-03,5.29297E-03
-2.6118900E-03,1.50586E-02
-2.6117800E-03,2.97070E-02
-2.6116700E-03,-1.91211E-02
-2.6115600E-03,-1.42383E-02
-2.6114500E-03,5.29297E-03
-2.6113400E-03,1.50586E-02
-2.6112300E-03,4.10156E-04
-2.6111200E-03,1.01758E-02
-2.6110100E-03,-9.35547E-03
-2.6109000E-03,4.10156E-04
-2.6107900E-03,5.29297E-03
-2.6106800E-03,1.99414E-02
-2.6105700E-03,2.48242E-02
-2.6104600E-03,4.10156E-04
-2.6103500E-03,-4.47266E-03
-2.6102400E-03,4.10156E-04
-2.6101300E-03,-1.42383E-02
-2.6100200E-03,1.50586E-02
-2.6099100E-03,4.10156E-04
-2.6098000E-03,1.99414E-02
-2.6096900E-03,4.10156E-04
-2.6095800E-03,1.50586E-02
-2.6094700E-03,4.10156E-04
-2.6093600E-03,1.99414E-02
-2.6092500E-03,5.29297E-03
-2.6091400E-03,5.29297E-03
-2.6090300E-03,1.99414E-02
-2.6089200E-03,-2.40039E-02
-2.6088100E-03,1.01758E-02
-2.6087000E-03,1.01758E-02
-2.6085900E-03,-2.40039E-02
-2.6084800E-03,-9.35547E-03
-2.6083700E-03,1.50586E-02
-2.6082600E-03,-2.40039E-02
-2.6081500E-03,4.10156E-04
-2.6080400E-03,1.99414E-02
-2.6079300E-03,1.50586E-02
-2.6078200E-03,5.29297E-03
-2.6077100E-03,1.01758E-02
-2.6076000E-03,4.10156E-04
-2.6074900E-03,-1.42383E-02
-2.6073800E-03,4.10156E-04
-2.6072700E-03,-2.88867E-02
-2.6071600E-03,3.45898E-02
-2.6070500E-03,1.01758E-02
-2.6069400E-03,5.29297E-03
-2.6068300E-03,4.10156E-04
-2.6067200E-03,-4.47266E-03
-2.6066100E-03,4.10156E-04
-2.6065000E-03,-4.47266E-03
-2.6063900E-03,5.29297E-03
-2.6062800E-03,2.48242E-02
-2.6061700E-03,1.50586E-02
-2.6060600E-03,1.01758E-02
-2.6059500E-03,4.10156E-04
-2.6058400E-03,-4.47266E-03
-2.6057300E-03,-1.91211E-02
-2.6056200E-03,5.29297E-03
-2.6055100E-03,-1.42383E-02
-2.6054000E-03,-1.42383E-02
-2.6052900E-03,1.99414E-02
-2.6051800E-03,1.50586E-02
-2.6050700E-03,4.10156E-04
-2.6049600E-03,4.10156E-04
-2.6048500E-03,2.48242E-02
-2.6047400E-03,-4.47266E-03
-2.6046300E-03,1.50586E-02
-2.6045200E-03,4.10156E-04
-2.6044100E-03,2.48242E-02
-2.6043000E-03,1.50586E-02
-2.6041900E-03,1.01758E-02
-2.6040800E-03,1.50586E-02
-2.6039700E-03,-4.47266E-03
-2.6038600E-03,1.99414E-02
-2.6037500E-03,-4.47266E-03
-2.6036400E-03,4.10156E-04
-2.6035300E-03,-4.47266E-03
-2.6034200E-03,4.10156E-04
-2.6033100E-03,1.50586E-02
-2.6032000E-03,5.29297E-03
-2.6030900E-03,1.50586E-02
-2.6029800E-03,1.50586E-02
-2.6028700E-03,1.50586E-02
-2.6027600E-03,4.10156E-04
-2.6026500E-03,-9.35547E-03
-2.6025400E-03,1.99414E-02
-2.6024300E-03,4.10156E-04
-2.6023200E-03,5.29297E-03
-2.6022100E-03,5.29297E-03
-2.6021000E-03,4.10156E-04
-2.6019900E-03,4.10156E-04
-2.6018800E-03,5.29297E-03
-2.6017700E-03,-4.47266E-03
-2.6016600E-03,-9.35547E-03
-2.6015500E-03,-1.91211E-02
-2.6014400E-03,-9.35547E-03
-2.6013300E-03,-4.47266E-03
-2.6012200E-03,1.50586E-02
-2.6011100E-03,5.29297E-03
-2.6010000E-03,1.99414E-02
-2.6008900E-03,1.01758E-02
-2.6007800E-03,-4.47266E-03
-2.6006700E-03,3.45898E-02
-2.6005600E-03,1.99414E-02
-2.6004500E-03,5.29297E-03
-2.6003400E-03,1.01758E-02
-2.6002300E-03,1.50586E-02
-2.6001200E-03,-9.35547E-03
-2.6000100E-03,5.29297E-03
-2.5999000E-03,1.50586E-02
-2.5997900E-03,5.29297E-03
-2.5996800E-03,-9.35547E-03
-2.5995700E-03,2.48242E-02
-2.5994600E-03,1.50586E-02
-2.5993500E-03,-9.35547E-03
-2.5992400E-03,-9.35547E-03
-2.5991300E-03,1.50586E-02
-2.5990200E-03,2.48242E-02
-2.5989100E-03,4.10156E-04
-2.5988000E-03,-1.91211E-02
-2.5986900E-03,4.10156E-04
-2.5985800E-03,-4.47266E-03
-2.5984700E-03,1.99414E-02
-2.5983600E-03,4.10156E-04
-2.5982500E-03,1.99414E-02
-2.5981400E-03,1.99414E-02
-2.5980300E-03,1.50586E-02
-2.5979200E-03,5.29297E-03
-2.5978100E-03,1.50586E-02
-2.5977000E-03,2.48242E-02
-2.5975900E-03,1.01758E-02
-2.5974800E-03,4.10156E-04
-2.5973700E-03,1.01758E-02
-2.5972600E-03,-1.91211E-02
-2.5971500E-03,5.29297E-03
-2.5970400E-03,1.99414E-02
-2.5969300E-03,5.29297E-03
-2.5968200E-03,2.48242E-02
-2.5967100E-03,1.01758E-02
-2.5966000E-03,-4.47266E-03
-2.5964900E-03,-9.35547E-03
-2.5963800E-03,5.29297E-03
-2.5962700E-03,4.10156E-04
-2.5961600E-03,1.01758E-02
-2.5960500E-03,3.45898E-02
-2.5959400E-03,1.01758E-02
-2.5958300E-03,5.29297E-03
-2.5957200E-03,-4.47266E-03
-2.5956100E-03,1.01758E-02
-2.5955000E-03,4.10156E-04
-2.5953900E-03,4.10156E-04
-2.5952800E-03,1.50586E-02
-2.5951700E-03,2.97070E-02
-2.5950600E-03,1.50586E-02
-2.5949500E-03,-9.35547E-03
-2.5948400E-03,-4.47266E-03
-2.5947300E-03,1.01758E-02
-2.5946200E-03,1.50586E-02
-2.5945100E-03,4.10156E-04
-2.5944000E-03,1.01758E-02
-2.5942900E-03,-4.47266E-03
-2.5941800E-03,5.29297E-03
-2.5940700E-03,2.97070E-02
-2.5939600E-03,-4.47266E-03
-2.5938500E-03,1.50586E-02
-2.5937400E-03,1.99414E-02
-2.5936300E-03,1.01758E-02
-2.5935200E-03,4.10156E-04
